sample,input_speed,input_rpm,input_tp,input_load,input_timing,mstedarls_speed,mstedarls_rpm,mstedarls_tp,mstedarls_load,mstedarls_timing,mstedarls_flag_speed,mstedarls_flag_rpm,mstedarls_flag_tp,mstedarls_flag_load,mstedarls_flag_timing,mptedarls_speed,mptedarls_rpm,mptedarls_tp,mptedarls_load,mptedarls_timing,mptedarls_flag,time_mstedarls_us,time_mptedarls_us
27,3.00,921.00,19.00,24.00,-9.00,3.00,921.00,19.00,24.00,-9.00,0,0,0,0,0,3.00,921.00,19.00,24.00,-9.00,0,450,4314
28,2.00,927.00,23.00,30.00,-13.00,2.00,927.00,23.00,30.00,-13.00,0,0,0,0,0,2.00,927.00,23.00,30.00,-13.00,0,452,4314
29,2.00,958.00,32.00,34.00,-15.00,2.00,958.00,32.00,34.00,-15.00,0,0,0,0,0,2.00,958.00,32.00,34.00,-15.00,0,437,4316
30,2.00,950.00,29.00,34.00,-16.00,2.00,950.00,29.00,34.00,-16.00,0,0,0,0,0,2.00,950.00,29.00,34.00,-16.00,0,441,4318
31,2.00,972.00,51.00,34.00,-16.00,2.00,972.00,51.00,34.00,-16.00,0,0,0,0,0,2.00,972.00,51.00,34.00,-16.00,0,442,4302
32,1.00,918.00,18.00,28.00,-9.00,1.00,918.00,18.00,28.00,-9.00,0,0,0,0,0,1.00,918.00,18.00,28.00,-9.00,0,444,4503
33,0.00,965.00,17.00,27.00,-3.00,0.00,965.00,17.00,27.00,-3.00,0,0,0,0,0,0.00,965.00,17.00,27.00,-3.00,0,437,4239
34,0.00,942.00,19.00,25.00,-23.00,0.00,942.00,19.00,25.00,-23.00,0,0,0,0,0,0.00,942.00,19.00,25.00,-23.00,0,454,4253
35,1.00,937.00,20.00,27.00,-17.00,1.00,937.00,20.00,27.00,-17.00,0,0,0,0,0,1.00,937.00,20.00,27.00,-17.00,0,443,4306
36,5.00,1047.00,21.00,33.00,-16.00,5.00,1047.00,21.00,33.00,-16.00,0,0,0,0,0,5.00,1047.00,21.00,33.00,-16.00,0,442,4328
37,8.00,1381.00,19.00,27.00,6.00,2.12,974.93,19.00,27.00,6.00,1,1,0,0,0,8.00,1381.00,19.00,27.00,6.00,0,448,4442
38,10.00,1541.00,18.00,22.00,15.00,2.12,974.93,18.00,22.00,15.00,1,1,0,0,0,10.00,1541.00,18.00,22.00,15.00,0,428,4314
39,11.00,1713.00,20.00,23.00,17.00,2.12,974.93,20.00,23.00,17.00,1,1,0,0,0,11.00,1713.00,20.00,23.00,17.00,0,436,4312
40,12.00,1911.00,20.00,23.00,18.00,2.12,974.93,20.00,23.00,18.00,1,1,0,0,0,12.00,1911.00,20.00,23.00,18.00,0,449,4316
41,13.00,2039.00,20.00,21.00,19.00,2.12,974.93,20.00,21.00,19.00,1,1,0,0,0,11.42,1710.92,20.69,34.51,25.63,1,436,4225
42,15.00,2142.00,19.00,20.00,20.00,2.12,974.93,19.00,20.00,20.00,1,1,0,0,0,12.19,1740.87,20.56,35.30,29.34,1,440,4244
43,15.00,1986.00,14.00,11.00,10.00,15.00,1986.00,14.00,11.00,10.00,0,0,0,0,0,15.00,1986.00,14.00,11.00,10.00,0,425,4294
44,15.00,1259.00,13.00,7.00,19.00,15.00,1259.00,13.00,7.00,19.00,0,0,0,0,0,15.00,1259.00,13.00,7.00,19.00,0,451,4310
45,14.00,1007.00,14.00,11.00,2.00,14.00,1007.00,14.00,11.00,2.00,0,0,0,0,0,14.00,1007.00,14.00,11.00,2.00,0,450,4299
46,14.00,924.00,13.00,12.00,-5.00,14.00,924.00,13.00,12.00,-5.00,0,0,0,0,0,14.00,924.00,13.00,12.00,-5.00,0,443,4297
47,14.00,1255.00,16.00,22.00,-5.00,14.00,1255.00,16.00,22.00,-5.00,0,0,0,0,0,14.00,1255.00,16.00,22.00,-5.00,0,438,4296
48,13.00,1453.00,16.00,16.00,15.00,13.00,1453.00,16.00,16.00,15.00,0,0,0,0,0,13.00,1453.00,16.00,16.00,15.00,0,443,4327
49,13.00,1493.00,16.00,16.00,17.00,13.00,1493.00,16.00,16.00,17.00,0,0,0,0,0,13.00,1493.00,16.00,16.00,17.00,0,440,4316
50,13.00,1219.00,14.00,12.00,5.00,13.00,1219.00,14.00,12.00,5.00,0,0,0,0,0,13.00,1219.00,14.00,12.00,5.00,0,453,4307
51,13.00,987.00,14.00,12.00,2.00,13.00,987.00,14.00,12.00,2.00,0,0,0,0,0,13.00,987.00,14.00,12.00,2.00,0,450,4305
52,14.00,931.00,13.00,14.00,-1.00,14.00,931.00,13.00,14.00,-1.00,0,0,0,0,0,14.00,931.00,13.00,14.00,-1.00,0,433,4307
53,16.00,917.00,14.00,13.00,-3.00,16.00,917.00,14.00,13.00,-3.00,0,0,0,0,0,16.00,917.00,14.00,13.00,-3.00,0,451,4299
54,18.00,982.00,12.00,13.00,-8.00,18.00,982.00,12.00,13.00,-8.00,0,0,0,0,0,18.00,982.00,12.00,13.00,-8.00,0,454,4327
55,19.00,939.00,12.00,9.00,-6.00,19.00,939.00,12.00,9.00,-6.00,0,0,0,0,0,19.00,939.00,12.00,9.00,-6.00,0,439,4312
56,19.00,937.00,12.00,8.00,-3.00,19.00,937.00,12.00,8.00,-3.00,0,0,0,0,0,19.00,937.00,12.00,8.00,-3.00,0,443,4308
57,20.00,933.00,12.00,7.00,-4.00,20.00,933.00,12.00,7.00,-4.00,0,0,0,0,0,20.00,933.00,12.00,7.00,-4.00,0,451,4303
58,20.00,912.00,11.00,7.00,-3.00,20.00,912.00,11.00,7.00,-3.00,0,0,0,0,0,20.00,912.00,11.00,7.00,-3.00,0,443,4320
59,17.00,873.00,13.00,7.00,-3.00,17.00,873.00,13.00,7.00,-3.00,0,0,0,0,0,17.00,873.00,13.00,7.00,-3.00,0,438,4299
60,14.00,858.00,14.00,12.00,-7.00,14.00,858.00,14.00,12.00,-7.00,0,0,0,0,0,14.00,858.00,14.00,12.00,-7.00,0,450,4312
61,12.00,846.00,14.00,13.00,-5.00,12.00,846.00,14.00,13.00,-5.00,0,0,0,0,0,12.00,846.00,14.00,13.00,-5.00,0,441,4303
62,10.00,835.00,14.00,14.00,-6.00,10.00,835.00,14.00,14.00,-6.00,0,0,0,0,0,10.00,835.00,14.00,14.00,-6.00,0,442,4318
63,11.00,852.00,14.00,15.00,-9.00,11.00,852.00,14.00,15.00,-9.00,0,0,0,0,0,11.00,852.00,14.00,15.00,-9.00,0,439,4302
64,12.00,868.00,14.00,13.00,-5.00,12.00,868.00,14.00,13.00,-5.00,0,0,0,0,0,12.00,868.00,14.00,13.00,-5.00,0,454,4523
65,12.00,994.00,19.00,17.00,-13.00,12.00,994.00,19.00,17.00,-13.00,0,0,0,0,0,12.00,994.00,19.00,17.00,-13.00,0,447,4299
66,14.00,1281.00,18.00,25.00,5.00,14.00,1281.00,18.00,25.00,5.00,0,0,0,0,0,14.00,1281.00,18.00,25.00,5.00,0,455,4310
67,15.00,1424.00,19.00,25.00,14.00,15.00,1424.00,19.00,25.00,14.00,0,0,0,0,0,15.00,1424.00,19.00,25.00,14.00,0,445,4309
68,17.00,1483.00,18.00,21.00,16.00,17.00,1483.00,18.00,21.00,16.00,0,0,0,0,0,17.00,1483.00,18.00,21.00,16.00,0,442,4307
69,18.00,1574.00,18.00,20.00,16.00,18.00,1574.00,18.00,20.00,16.00,0,0,0,0,0,18.00,1574.00,18.00,20.00,16.00,0,427,4301
70,19.00,1618.00,17.00,18.00,17.00,19.00,1618.00,17.00,18.00,17.00,0,0,0,0,0,19.00,1618.00,17.00,18.00,17.00,0,453,4314
71,20.00,1665.00,17.00,16.00,18.00,20.00,1665.00,17.00,16.00,18.00,0,0,0,0,0,20.00,1665.00,17.00,16.00,18.00,0,439,4308
72,20.00,1685.00,16.00,16.00,15.00,20.00,1685.00,16.00,16.00,15.00,0,0,0,0,0,20.00,1685.00,16.00,16.00,15.00,0,443,4324
73,21.00,1668.00,16.00,14.00,14.00,21.00,1668.00,16.00,14.00,14.00,0,0,0,0,0,21.00,1668.00,16.00,14.00,14.00,0,440,4299
74,21.00,1639.00,15.00,12.00,12.00,21.00,1639.00,15.00,12.00,12.00,0,0,0,0,0,21.00,1639.00,15.00,12.00,12.00,0,445,4308
75,20.00,1323.00,12.00,7.00,9.00,20.00,1323.00,12.00,7.00,9.00,0,0,0,0,0,20.00,1323.00,12.00,7.00,9.00,0,440,4320
76,18.00,1126.00,12.00,8.00,1.00,18.00,1126.00,12.00,8.00,1.00,0,0,0,0,0,18.00,1126.00,12.00,8.00,1.00,0,442,4314
77,17.00,989.00,12.00,8.00,-4.00,17.00,989.00,12.00,8.00,-4.00,0,0,0,0,0,17.00,989.00,12.00,8.00,-4.00,0,450,4295
78,16.00,924.00,13.00,9.00,-3.00,16.00,924.00,13.00,9.00,-3.00,0,0,0,0,0,16.00,924.00,13.00,9.00,-3.00,0,444,4324
79,15.00,893.00,12.00,9.00,-1.00,15.00,893.00,12.00,9.00,-1.00,0,0,0,0,0,15.00,893.00,12.00,9.00,-1.00,0,439,4311
80,13.00,872.00,13.00,10.00,3.00,13.00,872.00,13.00,10.00,3.00,0,0,0,0,0,13.00,872.00,13.00,10.00,3.00,0,450,4311
81,10.00,841.00,14.00,12.00,-9.00,10.00,841.00,14.00,12.00,-9.00,0,0,0,0,0,10.00,841.00,14.00,12.00,-9.00,0,449,4307
82,5.00,778.00,16.00,19.00,-11.00,5.00,778.00,16.00,19.00,-11.00,0,0,0,0,0,5.00,778.00,16.00,19.00,-11.00,0,441,4332
83,2.00,897.00,16.00,18.00,-9.00,2.00,897.00,16.00,18.00,-9.00,0,0,0,0,0,2.00,897.00,16.00,18.00,-9.00,0,446,4306
84,1.00,870.00,19.00,21.00,-10.00,1.00,870.00,19.00,21.00,-10.00,0,0,0,0,0,1.00,870.00,19.00,21.00,-10.00,0,444,4316
85,0.00,948.00,18.00,26.00,-7.00,0.00,948.00,18.00,26.00,-7.00,0,0,0,0,0,0.00,948.00,18.00,26.00,-7.00,0,445,4231
86,3.00,945.00,20.00,27.00,-12.00,3.00,945.00,20.00,27.00,-12.00,0,0,0,0,0,3.00,945.00,20.00,27.00,-12.00,0,431,4298
87,5.00,906.00,30.00,32.00,-22.00,5.00,906.00,30.00,32.00,-22.00,0,0,0,0,0,5.00,906.00,30.00,32.00,-22.00,0,449,4303
88,7.00,927.00,20.00,30.00,-19.00,7.00,927.00,20.00,30.00,-19.00,0,0,0,0,0,7.00,927.00,20.00,30.00,-19.00,0,442,4315
89,9.00,882.00,18.00,25.00,-16.00,9.00,882.00,18.00,25.00,-16.00,0,0,0,0,0,9.00,882.00,18.00,25.00,-16.00,0,440,4308
90,8.00,922.00,15.00,19.00,-7.00,8.00,922.00,15.00,19.00,-7.00,0,0,0,0,0,8.00,922.00,15.00,19.00,-7.00,0,450,4308
91,7.00,862.00,18.00,22.00,-12.00,7.00,862.00,18.00,22.00,-12.00,0,0,0,0,0,7.00,862.00,18.00,22.00,-12.00,0,439,4319
92,6.00,883.00,19.00,26.00,-11.00,6.00,883.00,19.00,26.00,-11.00,0,0,0,0,0,6.00,883.00,19.00,26.00,-11.00,0,453,4312
93,6.00,888.00,20.00,28.00,-12.00,6.00,888.00,20.00,28.00,-12.00,0,0,0,0,0,6.00,888.00,20.00,28.00,-12.00,0,449,4309
94,7.00,892.00,20.00,28.00,-13.00,7.00,892.00,20.00,28.00,-13.00,0,0,0,0,0,7.00,892.00,20.00,28.00,-13.00,0,451,4311
95,8.00,909.00,82.00,33.00,-18.00,8.00,909.00,19.29,33.00,-18.00,0,0,1,0,0,15.70,1301.81,24.51,89.64,-18.09,1,437,4220
96,10.00,1047.00,21.00,31.00,-12.00,10.00,1047.00,21.00,31.00,-12.00,0,0,0,0,0,10.00,1047.00,21.00,31.00,-12.00,0,442,4313
97,12.00,1225.00,20.00,28.00,10.00,12.00,1225.00,20.00,28.00,10.00,0,0,0,0,0,12.00,1225.00,20.00,28.00,10.00,0,449,4296
98,14.00,1350.00,21.00,27.00,11.00,14.00,1350.00,21.00,27.00,11.00,0,0,0,0,0,14.00,1350.00,21.00,27.00,11.00,0,443,4318
99,16.00,1515.00,22.00,29.00,14.00,16.00,1515.00,22.00,29.00,14.00,0,0,0,0,0,16.00,1515.00,22.00,29.00,14.00,0,451,4299
100,18.00,1663.00,23.00,28.00,15.00,18.00,1663.00,23.00,28.00,15.00,0,0,0,0,0,18.00,1663.00,23.00,28.00,15.00,0,452,4311
101,20.00,1809.00,22.00,28.00,16.00,20.00,1809.00,22.00,28.00,16.00,0,0,0,0,0,20.00,1809.00,22.00,28.00,16.00,0,439,4296
102,22.00,1930.00,22.00,26.00,17.00,22.00,1930.00,22.00,26.00,17.00,0,0,0,0,0,22.12,1710.56,23.84,28.09,26.49,1,443,4238
103,24.00,2036.00,22.00,25.00,18.00,24.00,2036.00,22.00,25.00,18.00,0,0,0,0,0,23.96,1757.74,23.89,28.11,30.71,1,446,4225
104,25.00,2109.00,20.00,21.00,20.00,25.00,2109.00,20.00,21.00,20.00,0,0,0,0,0,26.21,1754.42,21.90,26.12,34.54,1,451,4228
105,25.00,2063.00,18.00,15.00,12.00,25.00,2063.00,18.00,15.00,12.00,0,0,0,0,0,27.16,1552.23,18.59,24.34,34.54,1,451,4220
106,25.00,2051.00,18.00,15.00,12.00,25.00,2051.00,18.00,15.00,12.00,0,0,0,0,0,27.00,1552.23,18.53,24.19,34.12,1,454,5312
107,24.00,1942.00,14.00,14.00,3.00,24.00,1942.00,14.00,14.00,3.00,0,0,0,0,0,24.00,1942.00,14.00,14.00,3.00,0,434,4290
108,23.00,1541.00,12.00,8.00,-9.00,23.00,1541.00,12.00,8.00,-9.00,0,0,0,0,0,23.00,1541.00,12.00,8.00,-9.00,0,439,4324
109,22.00,1496.00,13.00,7.00,30.00,22.00,1496.00,13.00,7.00,30.00,0,0,0,0,0,22.00,1496.00,13.00,7.00,30.00,0,441,4311
110,21.00,1361.00,12.00,6.00,7.00,21.00,1361.00,12.00,6.00,7.00,0,0,0,0,0,21.00,1361.00,12.00,6.00,7.00,0,456,4304
111,20.00,1276.00,12.00,6.00,2.00,20.00,1276.00,12.00,6.00,2.00,0,0,0,0,0,20.00,1276.00,12.00,6.00,2.00,0,439,4315
112,19.00,1084.00,12.00,6.00,-1.00,19.00,1084.00,12.00,6.00,-1.00,0,0,0,0,0,19.00,1084.00,12.00,6.00,-1.00,0,444,4312
113,17.00,950.00,12.00,7.00,-3.00,17.00,950.00,12.00,7.00,-3.00,0,0,0,0,0,17.00,950.00,12.00,7.00,-3.00,0,450,4298
114,16.00,919.00,12.00,7.00,2.00,16.00,919.00,12.00,7.00,2.00,0,0,0,0,0,16.00,919.00,12.00,7.00,2.00,0,456,4315
115,16.00,1286.00,20.00,24.00,-18.00,16.00,1286.00,20.00,24.00,-18.00,0,0,0,0,0,16.00,1286.00,20.00,24.00,-18.00,0,437,4304
116,17.00,1543.00,21.00,28.00,6.00,17.00,1543.00,21.00,28.00,6.00,0,0,0,0,0,17.00,1543.00,21.00,28.00,6.00,0,454,4305
117,19.00,1721.00,23.00,29.00,13.00,19.00,1721.00,23.00,29.00,13.00,0,0,0,0,0,19.00,1721.00,23.00,29.00,13.00,0,449,4311
118,21.00,1875.00,23.00,29.00,16.00,21.00,1875.00,23.00,29.00,16.00,0,0,0,0,0,21.00,1875.00,23.00,29.00,16.00,0,443,4323
119,22.00,1983.00,24.00,28.00,16.00,22.00,1983.00,24.00,28.00,16.00,0,0,0,0,0,22.00,1983.00,24.00,28.00,16.00,0,439,4310
120,25.00,2186.00,25.00,27.00,17.00,25.00,2186.00,25.00,27.00,17.00,0,0,0,0,0,25.00,2186.00,25.00,27.00,17.00,0,452,4319
121,27.00,2311.00,24.00,27.00,18.00,27.00,2311.00,24.00,27.00,18.00,0,0,0,0,0,27.00,2311.00,24.00,27.00,18.00,0,439,4307
122,28.00,1762.00,23.00,26.00,14.00,28.00,1762.00,23.00,26.00,14.00,0,0,0,0,0,28.00,1762.00,23.00,26.00,14.00,0,441,4331
123,30.00,1660.00,25.00,32.00,13.00,30.00,1660.00,25.00,32.00,13.00,0,0,0,0,0,30.00,1660.00,25.00,32.00,13.00,0,438,4312
124,30.00,1593.00,25.00,33.00,13.00,30.00,1593.00,25.00,33.00,13.00,0,0,0,0,0,30.00,1593.00,25.00,33.00,13.00,0,453,4323
125,32.00,1583.00,25.00,34.00,13.00,32.00,1583.00,25.00,34.00,13.00,0,0,0,0,0,32.00,1583.00,25.00,34.00,13.00,0,425,4302
126,32.00,1638.00,25.00,33.00,13.00,32.00,1638.00,25.00,33.00,13.00,0,0,0,0,0,32.00,1638.00,25.00,33.00,13.00,0,453,4315
127,33.00,1678.00,25.00,33.00,13.00,33.00,1678.00,25.00,33.00,13.00,0,0,0,0,0,33.00,1678.00,25.00,33.00,13.00,0,449,4317
128,34.00,1711.00,25.00,33.00,13.00,34.00,1711.00,25.00,33.00,13.00,0,0,0,0,0,34.00,1711.00,25.00,33.00,13.00,0,432,4581
129,34.00,1742.00,25.00,33.00,13.00,34.00,1742.00,25.00,33.00,13.00,0,0,0,0,0,34.00,1742.00,25.00,33.00,13.00,0,437,4314
130,35.00,1764.00,25.00,32.00,13.00,35.00,1764.00,25.00,32.00,13.00,0,0,0,0,0,35.00,1764.00,25.00,32.00,13.00,0,453,4309
131,35.00,1767.00,25.00,33.00,13.00,35.00,1767.00,25.00,33.00,13.00,0,0,0,0,0,35.00,1767.00,25.00,33.00,13.00,0,425,4289
132,36.00,1754.00,25.00,32.00,13.00,36.00,1754.00,25.00,32.00,13.00,0,0,0,0,0,36.00,1754.00,25.00,32.00,13.00,0,442,4316
133,36.00,1775.00,24.00,32.00,13.00,36.00,1775.00,24.00,32.00,13.00,0,0,0,0,0,36.00,1775.00,24.00,32.00,13.00,0,449,4306
134,36.00,1788.00,25.00,32.00,14.00,36.00,1788.00,25.00,32.00,14.00,0,0,0,0,0,36.00,1788.00,25.00,32.00,14.00,0,452,4312
135,37.00,1811.00,25.00,32.00,15.00,37.00,1811.00,25.00,32.00,15.00,0,0,0,0,0,37.00,1811.00,25.00,32.00,15.00,0,437,4323
136,37.00,1828.00,24.00,31.00,15.00,37.00,1828.00,24.00,31.00,15.00,0,0,0,0,0,37.00,1828.00,24.00,31.00,15.00,0,441,4322
137,37.00,1843.00,24.00,30.00,15.00,37.00,1843.00,24.00,30.00,15.00,0,0,0,0,0,37.00,1843.00,24.00,30.00,15.00,0,448,4304
138,38.00,1856.00,24.00,30.00,15.00,38.00,1856.00,24.00,30.00,15.00,0,0,0,0,0,38.00,1856.00,24.00,30.00,15.00,0,442,4346
139,38.00,1861.00,24.00,31.00,15.00,38.00,1861.00,24.00,31.00,15.00,0,0,0,0,0,38.00,1861.00,24.00,31.00,15.00,0,436,4315
140,38.00,1862.00,24.00,30.00,15.00,38.00,1862.00,24.00,30.00,15.00,0,0,0,0,0,38.00,1862.00,24.00,30.00,15.00,0,453,4317
141,38.00,1869.00,24.00,31.00,15.00,38.00,1869.00,24.00,31.00,15.00,0,0,0,0,0,38.00,1869.00,24.00,31.00,15.00,0,438,4309
142,38.00,1866.00,24.00,30.00,15.00,38.00,1866.00,24.00,30.00,15.00,0,0,0,0,0,38.00,1866.00,24.00,30.00,15.00,0,443,4325
143,38.00,1876.00,24.00,30.00,15.00,38.00,1876.00,24.00,30.00,15.00,0,0,0,0,0,38.00,1876.00,24.00,30.00,15.00,0,438,4308
144,39.00,1897.00,24.00,30.00,15.00,39.00,1897.00,24.00,30.00,15.00,0,0,0,0,0,39.00,1897.00,24.00,30.00,15.00,0,451,4315
145,39.00,1920.00,24.00,30.00,15.00,39.00,1920.00,24.00,30.00,15.00,0,0,0,0,0,39.00,1920.00,24.00,30.00,15.00,0,450,4294
146,40.00,1959.00,24.00,29.00,15.00,40.00,1959.00,24.00,29.00,15.00,0,0,0,0,0,40.00,1959.00,24.00,29.00,15.00,0,442,4313
147,41.00,1484.00,22.00,29.00,13.00,41.00,1484.00,22.00,29.00,13.00,0,0,0,0,0,41.00,1484.00,22.00,29.00,13.00,0,437,4307
148,40.00,1444.00,14.00,17.00,-2.00,40.00,1444.00,14.00,17.00,-2.00,0,0,0,0,0,40.00,1444.00,14.00,17.00,-2.00,0,443,4313
149,39.00,1424.00,13.00,7.00,-8.00,39.00,1424.00,13.00,7.00,-8.00,0,0,0,0,0,39.00,1424.00,13.00,7.00,-8.00,0,440,4311
150,38.00,1395.00,12.00,6.00,-9.00,38.00,1395.00,12.00,6.00,-9.00,0,0,0,0,0,38.00,1395.00,12.00,6.00,-9.00,0,455,4316
151,38.00,1367.00,12.00,6.00,-9.00,38.00,1367.00,12.00,6.00,-9.00,0,0,0,0,0,38.00,1367.00,12.00,6.00,-9.00,0,439,4317
152,38.00,1348.00,12.00,6.00,-9.00,38.00,1348.00,12.00,6.00,-9.00,0,0,0,0,0,38.00,1348.00,12.00,6.00,-9.00,0,443,4319
153,37.00,1347.00,12.00,6.00,-9.00,37.00,1347.00,12.00,6.00,-9.00,0,0,0,0,0,37.00,1347.00,12.00,6.00,-9.00,0,450,4298
154,37.00,1337.00,12.00,6.00,-9.00,37.00,1337.00,12.00,6.00,-9.00,0,0,0,0,0,37.00,1337.00,12.00,6.00,-9.00,0,455,4308
155,36.00,1300.00,12.00,6.00,-9.00,36.00,1300.00,12.00,6.00,-9.00,0,0,0,0,0,36.00,1300.00,12.00,6.00,-9.00,0,431,4297
156,33.00,1621.00,13.00,6.00,-7.00,33.00,1621.00,13.00,6.00,-7.00,0,0,0,0,0,33.00,1621.00,13.00,6.00,-7.00,0,442,4316
157,30.00,1470.00,12.00,7.00,-9.00,30.00,1470.00,12.00,7.00,-9.00,0,0,0,0,0,30.00,1470.00,12.00,7.00,-9.00,0,450,4305
158,25.00,1243.00,12.00,6.00,18.00,25.00,1243.00,12.00,6.00,18.00,0,0,0,0,0,25.00,1243.00,12.00,6.00,18.00,0,443,4328
159,19.00,1168.00,12.00,8.00,0.00,19.00,1168.00,12.00,8.00,0.00,0,0,0,0,0,19.00,1168.00,12.00,8.00,0.00,0,449,4313
160,17.00,950.00,12.00,7.00,-7.00,17.00,950.00,12.00,7.00,-7.00,0,0,0,0,0,17.00,950.00,12.00,7.00,-7.00,0,450,4319
161,15.00,913.00,13.00,8.00,14.00,15.00,913.00,13.00,8.00,14.00,0,0,0,0,0,15.00,913.00,13.00,8.00,14.00,0,440,4312
162,16.00,1412.00,17.00,21.00,-3.00,16.00,1412.00,17.00,21.00,-3.00,0,0,0,0,0,16.00,1412.00,17.00,21.00,-3.00,0,441,4327
163,18.00,1551.00,18.00,18.00,15.00,18.00,1551.00,18.00,18.00,15.00,0,0,0,0,0,18.00,1551.00,18.00,18.00,15.00,0,436,4311
164,19.00,1676.00,17.00,19.00,17.00,19.00,1676.00,17.00,19.00,17.00,0,0,0,0,0,19.00,1676.00,17.00,19.00,17.00,0,454,4308
